,CZUST (04_8B_42_23_50_CF),CZUST (06_05_88_E1_E2_02),CZUST (06_05_88_E1_F1_D6),CZUST (06_05_88_E1_F5_F6),CZUST (06_05_88_E1_F5_F7),CZUST (06_05_88_E7_F5_48),fc (EC_41_18_F2_16_5D),fc_5G (EC_41_18_F2_16_5E),feichang (5C_78_F8_2D_D6_38),iSimple (04_D9_F5_FA_DA_B8),iSimpleDev (24_4B_FE_31_38_40),iSimpleDev_5G (24_4B_FE_31_38_44),iSimple_5G (04_D9_F5_FA_DA_BC),Wifi-7628-1522 (3C_8F_06_01_15_22),CZUST (04_8B_42_22_72_E5),ZYTX_AP (AC_1F_09_01_8B_62),CZUST (06_05_88_E1_E9_5E),CZUST (06_05_88_E7_FD_BC),ap_mishare_0f94 (7E_2A_31_66_A0_F3),CZUST (04_8B_42_22_71_F0),CZUST (04_8B_42_23_66_0A),CZUST (06_05_88_E7_FF_94),CZUST (06_05_88_E1_E9_5F),CZUST (06_05_88_E1_EA_3A),length,width
1,-88.0,-70.74358974358974,-76.36111111111111,-44.625,-56.11904761904762,-79.33333333333333,-50.11904761904762,-64.52380952380952,-59.88095238095238,-42.54761904761905,-37.11904761904762,-42.95238095238095,-42.023809523809526,-63.05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2,2.2
2,100.0,-77.35416666666667,-83.02439024390245,-63.869565217391305,-57.32142857142857,100.0,-60.785714285714285,-72.41071428571429,-73.05357142857143,-45.642857142857146,-47.857142857142854,-45.482142857142854,-51.05357142857143,-69.72916666666667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4,2.2
3,100.0,-75.3076923076923,-80.2,-51.53846153846154,-59.65853658536585,-80.26829268292683,-54.19512195121951,-72.51219512195122,-66.5609756097561,-50.21951219512195,-38.4390243902439,-42.75609756097561,-47.78048780487805,100.0,-86.89473684210526,-85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6,2.2
4,100.0,-78.97368421052632,-77.71428571428571,-66.5,-67.76190476190476,100.0,-67.6046511627907,-84.76744186046511,-85.6046511627907,-45.627906976744185,-37.883720930232556,-41.97674418604651,-43.27906976744186,-71.9090909090909,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8,2.2
5,100.0,-79.02777777777777,-66.05405405405405,-59.44444444444444,-71.78048780487805,100.0,-59.256410256410255,-82.97560975609755,-69.82352941176471,-32.609756097560975,-21.853658536585368,-37.21951219512195,-35.02439024390244,-55.74074074074074,100.0,100.0,-86.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10,2.2
6,100.0,-81.55263157894737,-74.73170731707317,-69.86046511627907,-76.16666666666667,100.0,-74.20930232558139,-76.88372093023256,-80.02325581395348,-38.41860465116279,-32.81395348837209,-41.395348837209305,-42.53488372093023,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,12,2.2
7,100.0,100.0,-85.125,-76.17647058823529,-82.3076923076923,100.0,-72.25,100.0,-80.85,-49.975,-48.075,-48.75,-48.15,-87.33333333333333,100.0,100.0,-75.825,-82.0,100.0,100.0,100.0,100.0,100.0,100.0,14,2.2
8,100.0,-84.15217391304348,-80.23076923076923,-64.8048780487805,-81.03225806451613,100.0,-70.95652173913044,-88.45652173913044,100.0,-46.869565217391305,-35.69565217391305,-44.71739130434783,-47.19565217391305,-85.54838709677419,-89.26315789473684,100.0,-70.08695652173913,-82.2,-65.92592592592592,-81.08888888888889,-86.1086956521739,100.0,100.0,100.0,16,2.2
9,100.0,-64.95,100.0,-44.06896551724138,-46.825,-81.6774193548387,-50.65,-70.075,-63.175,-39.0,-40.975,-37.425,-39.8,-73.30434782608695,100.0,-77.0,100.0,100.0,100.0,100.0,100.0,-86.0,100.0,100.0,2,4.4
10,100.0,-71.94285714285714,-83.27272727272727,-56.951219512195124,-52.857142857142854,-83.0,-58.595238095238095,-77.97619047619048,-70.45238095238095,-50.11904761904762,-41.785714285714285,-45.88095238095238,-42.0,-70.08571428571429,100.0,-77.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4,4.4
11,-86.52173913043478,-64.34285714285714,-69.3076923076923,-45.04651162790697,-44.808510638297875,-82.04761904761905,-51.869565217391305,-73.36170212765957,-65.59574468085107,-36.57446808510638,-33.02127659574468,-36.148936170212764,-39.361702127659576,-69.26315789473684,-86.92307692307692,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6,4.4
12,100.0,-80.6046511627907,-76.46511627906976,-61.81395348837209,-57.55813953488372,-84.0,-64.83720930232558,-81.23255813953489,-75.06976744186046,-35.44186046511628,-37.81395348837209,-33.44186046511628,-34.53488372093023,-73.91428571428571,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8,4.4
13,100.0,-71.45454545454545,-67.15789473684211,-56.857142857142854,-55.6,-84.12,-63.09090909090909,-79.74545454545455,-69.03636363636363,-29.727272727272727,-30.745454545454546,-24.163636363636364,-27.363636363636363,-87.86666666666666,100.0,100.0,-82.16,-87.0,100.0,-88.73913043478261,100.0,100.0,100.0,100.0,10,4.4
14,100.0,-81.63636363636364,-73.13636363636364,-61.36363636363637,-67.62857142857143,100.0,-58.61363636363637,-82.5952380952381,-78.5,-37.81818181818182,-30.477272727272727,-29.84090909090909,-25.704545454545453,-79.68181818181819,100.0,100.0,-84.70270270270271,-86.0,100.0,100.0,100.0,100.0,100.0,100.0,12,4.4
15,100.0,-75.6,-80.56521739130434,-61.96610169491525,-76.77083333333333,100.0,-62.11864406779661,-81.94915254237289,-73.20689655172414,-37.49152542372882,-33.067796610169495,-39.559322033898304,-38.6271186440678,-71.67796610169492,100.0,-80.64285714285714,-81.66666666666667,-76.35087719298245,100.0,-87.0,100.0,100.0,100.0,100.0,14,4.4
16,100.0,-83.93023255813954,-70.0,-65.375,-75.21739130434783,100.0,-69.13559322033899,-81.33898305084746,-81.98245614035088,-44.50847457627118,-37.6271186440678,-48.76271186440678,-50.91525423728814,-73.98305084745763,100.0,-87.85714285714286,-70.52542372881356,-72.03703703703704,100.0,-85.29411764705883,100.0,100.0,-81.0,-86.375,16,4.4
17,100.0,-61.31111111111111,-73.0,-39.62222222222222,-53.08510638297872,-75.72413793103448,-56.851063829787236,-76.61702127659575,-66.76595744680851,-38.06382978723404,-23.80851063829787,-33.638297872340424,-39.06382978723404,-87.73333333333333,100.0,100.0,-83.0,-86.81481481481481,100.0,100.0,100.0,100.0,100.0,100.0,2,6.6000000000000005
18,100.0,-77.14285714285714,-75.61904761904762,-56.4390243902439,-57.833333333333336,100.0,-58.285714285714285,-78.33333333333333,-75.02380952380952,-43.95238095238095,-39.333333333333336,-37.285714285714285,-38.523809523809526,-87.0,100.0,100.0,100.0,-88.0,100.0,100.0,100.0,100.0,100.0,100.0,4,6.6000000000000005
19,100.0,-69.03846153846153,-67.92307692307692,-41.267857142857146,-54.293103448275865,-80.61111111111111,-56.689655172413794,-73.96551724137932,-66.46551724137932,-32.63793103448276,-24.896551724137932,-27.24137931034483,-33.758620689655174,-90.0,100.0,100.0,-83.625,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6,6.6000000000000005
20,100.0,-68.66666666666667,-63.58064516129032,-47.38709677419355,-53.44117647058823,-83.53846153846153,-60.803030303030305,-74.83823529411765,-68.01470588235294,-24.264705882352942,-25.970588235294116,-25.514705882352942,-28.323529411764707,100.0,100.0,100.0,-81.72727272727273,-85.42857142857143,100.0,-88.0,100.0,100.0,100.0,100.0,8,6.6000000000000005
21,100.0,-80.91071428571429,-78.8157894736842,-68.66420664206642,-73.73725490196078,100.0,-76.93862815884476,-83.38372093023256,-87.6875,-47.55595667870036,-38.808664259927795,-40.194945848375454,-40.27075812274368,-76.70397111913357,100.0,-89.8119658119658,-85.57068062827226,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10,6.6000000000000005
22,100.0,-83.39189189189189,-73.01351351351352,-65.05813953488372,-64.11392405063292,100.0,-69.51136363636364,-78.0,-77.01136363636364,-29.295454545454547,-28.40909090909091,-27.647727272727273,-26.147727272727273,-71.9090909090909,100.0,100.0,-79.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,12,6.6000000000000005
23,100.0,-85.0,-80.09756097560975,-70.55,-78.0,100.0,-77.97560975609755,-85.21739130434783,-88.6829268292683,-50.292682926829265,-43.68292682926829,-43.5609756097561,-44.31707317073171,-76.39024390243902,100.0,-90.28205128205128,-84.51515151515152,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14,6.6000000000000005
24,100.0,-86.22222222222223,-80.78571428571429,-70.0952380952381,-79.52380952380952,100.0,-80.8780487804878,-82.25641025641026,-87.94736842105263,-54.214285714285715,-53.0,-51.26190476190476,-51.976190476190474,-80.02380952380952,100.0,-89.0,-79.71428571428571,-71.26190476190476,100.0,100.0,100.0,100.0,100.0,100.0,16,6.6000000000000005
